,grouptitle,MainM3U8ip,child_m3ips,.ts ips,status,HLS status,ASN_m3u8,ASN_childm3,ASN_ts,HOST_m3u8
 TV Cosmos,"['""PERU"", TV Cosmos']",[],['NONE'],[],Error,,[],['NONE'],[],
13 Max,"['""ARGENTINA"",13 Max']",[],['NONE'],[],Error,,[],['NONE'],[],
5TV Corrientes,"['""ARGENTINA"",5TV Corrientes']",[],['NONE'],[],Error,,[],['NONE'],[],
AM Canal,"['""CHILE"",AM Canal']",['138.117.149.80'],['NONE'],"[['138.117.149.80'], ['138.117.149.80'], ['138.117.149.80']]","Whois lookup failed for 138.117.149.80. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
ATB TV,"['""ARGENTINA"",ATB TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Acento TV,"['""DOMINICAN REPUBLIC"",Acento TV']",['63.141.241.238'],['NONE'],"[['63.141.241.238'], ['63.141.241.238'], ['63.141.241.238']]",NONE,no,['AS33387'],['NONE'],"['AS33387', 'AS33387', 'AS33387']",cant reverse lookup
Aire de Santa Fe,"['""ARGENTINA"",Aire de Santa Fe']",[],['NONE'],[],Error,,[],['NONE'],[],
Antares TV,"['""PERU"",Antares TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Argentinisima Satelital (New!),"['""ARGENTINA"",Argentinisima Satelital (New!)']",[],['NONE'],[],Error,,[],['NONE'],[],
Atlantica Video Cable,"['""ARGENTINA"",Atlantica Video Cable']",['190.122.158.7'],['NONE'],[],"Whois lookup failed for 190.122.158.7. Rate limit exceeded, wait and try again (possibly a temporary block).",,['NONE'],['NONE'],['NONE'],
BHtv (Opt-1),"['""PERU"",BHtv (Opt-1)']",[],['NONE'],[],Error,,[],['NONE'],[],
BHtv (Opt-2),"['""PERU"",BHtv (Opt-2)']",[],['NONE'],[],Error,,[],['NONE'],[],
Bellavision 8,"['""DOMINICAN REPUBLIC"",Bellavision 8']",[],['NONE'],[],Error,,[],['NONE'],[],
Bonao TV Canal 12,"['""DOMINICAN REPUBLIC"",Bonao TV Canal 12']",[],['NONE'],[],Error,,[],['NONE'],[],
CDtv,"['""CHILE"",CDtv']",['45.226.171.100'],['NONE'],"[['45.226.171.100'], ['45.226.171.100'], ['45.226.171.100']]",ASN registry lookup failed. Permutations not allowed.,no,['NONE'],['NONE'],['NONE'],
CN 24/7,"['""ARGENTINA"",CN 24/7']",[],['NONE'],[],Error,,[],['NONE'],[],
CTC TV Cusco,"['""PERU"",CTC TV Cusco']",[],['NONE'],[],Error,,[],['NONE'],[],
Cadena Sudeste TV,"['""ARGENTINA"",Cadena Sudeste TV']",['45.43.200.122'],{'45.43.200.122'},[['45.43.200.122']],NONE,no,['AS46261'],['AS46261'],['AS46261'],cant reverse lookup
Cali TV,"['""COLOMBIA"",Cali TV']",['167.114.170.183'],{'167.114.170.183'},[['167.114.170.183']],NONE,no,['AS16276'],['AS16276'],['AS16276'],"('vbox.cehis.net', [], ['167.114.170.183'])"
Campo Abierto TV Huechuraba,"['""CHILE"",Campo Abierto TV Huechuraba']",['138.117.149.80'],{'138.117.149.80'},[['138.117.149.80']],"Whois lookup failed for 138.117.149.80. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Canal 10 Cordoba (Opt-1) (New!),"['""ARGENTINA"",Canal 10 Cordoba (Opt-1) (New!)']",['23.194.130.137'],['NONE'],"[['23.194.130.137'], ['23.194.130.137'], ['23.194.130.137']]",NONE,no,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']","('a23-194-130-137.deploy.static.akamaitechnologies.com', [], ['23.194.130.137'])"
Canal 10 Cordoba (Opt-2) (New!),"['""ARGENTINA"",Canal 10 Cordoba (Opt-2) (New!)']",['23.194.130.137'],{'23.194.130.137'},[],Error,,['AS20940'],['AS20940'],[],"('a23-194-130-137.deploy.static.akamaitechnologies.com', [], ['23.194.130.137'])"
Canal 10 General Roca (New!),"['""ARGENTINA"",Canal 10 General Roca (New!)']",['66.70.179.145'],['NONE'],"[['66.70.179.145'], ['66.70.179.145'], ['66.70.179.145']]",NONE,no,['AS16276'],['NONE'],"['AS16276', 'AS16276', 'AS16276']","('ns548900.ip-66-70-179.net', [], ['66.70.179.145'])"
Canal 10 Rio Negro,"['""ARGENTINA"",Canal 10 Rio Negro']",[],['NONE'],[],Error,,[],['NONE'],[],
Canal 11 Aysen,"['""CHILE"",Canal 11 Aysen']",['138.117.149.80'],['NONE'],[],"Whois lookup failed for 138.117.149.80. Rate limit exceeded, wait and try again (possibly a temporary block).",,['NONE'],['NONE'],['NONE'],
Canal 11 Cabrero,"['""CHILE"",Canal 11 Cabrero']",[],['NONE'],[],Error,,[],['NONE'],[],
Canal 17 Milenium Salta,"['""ARGENTINA"",Canal 17 Milenium Salta']",['66.70.179.145'],{'66.70.179.145'},[['66.70.179.145']],NONE,no,['AS16276'],['AS16276'],['AS16276'],"('ns548900.ip-66-70-179.net', [], ['66.70.179.145'])"
Canal 2 San Antonio,"['""CHILE"",Canal 2 San Antonio']",['190.196.10.135'],{'190.196.10.135'},"[['190.196.10.135'], ['190.196.10.135']]","Whois lookup failed for 190.196.10.135. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Canal 22 Santiago,"['""CHILE"",Canal 22 Santiago']",['162.144.118.1'],{'162.144.118.1'},"[['162.144.118.1'], ['162.144.118.1'], ['162.144.118.1']]",NONE,no,['AS46606'],['AS46606'],"['AS46606', 'AS46606', 'AS46606']","('162-144-118-1.unifiedlayer.com', [], ['162.144.118.1'])"
Canal 26 BA (Opt-1),"['""ARGENTINA"",Canal 26 BA (Opt-1)']",['200.115.193.177'],{'200.115.193.177'},[['200.115.193.177']],"Whois lookup failed for 200.115.193.177. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Canal 26 BA (Opt-2),"['""ARGENTINA"",Canal 26 BA (Opt-2)']",[],['NONE'],[],Error,,[],['NONE'],[],
Canal 3 Aldea Brasilera (New!),"['""ARGENTINA"",Canal 3 Aldea Brasilera (New!)']",['45.43.200.122'],{'45.43.200.122'},[['45.43.200.122']],NONE,no,['AS46261'],['AS46261'],['AS46261'],cant reverse lookup
Canal 3 Pinamar,"['""ARGENTINA"",Canal 3 Pinamar']",[],['NONE'],[],Error,,[],['NONE'],[],
Canal 4 Posadas,"['""ARGENTINA"",Canal 4 Posadas']",[],['NONE'],[],Error,,[],['NONE'],[],
Canal 4 San Juan,"['""ARGENTINA"",Canal 4 San Juan']",[],['NONE'],[],Error,,[],['NONE'],[],
Canal 41 XFN (New!),"['""ARGENTINA"",Canal 41 XFN (New!)']",['192.99.39.217'],{'192.99.39.217'},[['192.99.39.217']],NONE,no,['AS16276'],['AS16276'],['AS16276'],"('streaming.engelhosting.com.br', [], ['192.99.39.217'])"
Canal 5 Puerto Montt,"['""CHILE"",Canal 5 Puerto Montt']",['138.117.148.112'],['NONE'],[],"Whois lookup failed for 138.117.148.112. Rate limit exceeded, wait and try again (possibly a temporary block).",,['NONE'],['NONE'],['NONE'],
Canal 5 Tigre BA (New!),"['""ARGENTINA"",Canal 5 Tigre BA (New!)']",['158.69.22.72'],['NONE'],"[['158.69.22.72'], ['158.69.22.72'], ['158.69.22.72']]",NONE,no,['AS16276'],['NONE'],"['AS16276', 'AS16276', 'AS16276']","('stream.shockmedia.com.ar', [], ['158.69.22.72'])"
Canal 7 Catamarca (New!),"['""ARGENTINA"",Canal 7 Catamarca (New!)']",[],['NONE'],[],Error,,[],['NONE'],[],
Canal 79 Mar del Plata (New!),"['""ARGENTINA"",Canal 79 Mar del Plata (New!)']",['192.99.39.217'],{'192.99.39.217'},[['192.99.39.217']],NONE,no,['AS16276'],['AS16276'],['AS16276'],"('streaming.engelhosting.com.br', [], ['192.99.39.217'])"
Canal 9 Comodoro Rivadavia,"['""ARGENTINA"",Canal 9 Comodoro Rivadavia']",[],['NONE'],[],Error,,[],['NONE'],[],
Canal Chilote,"['""CHILE"",Canal Chilote']",['184.95.42.66'],['NONE'],[],Error,,['AS20454'],['NONE'],[],cant reverse lookup
Canal Local Olavarria,"['""ARGENTINA"",Canal Local Olavarria']",[],['NONE'],[],Error,,[],['NONE'],[],
Canal M,"['""URUGUAY"",Canal M']",[],['NONE'],[],Error,,[],['NONE'],[],
Canal Provincial San Miguel,"['""ARGENTINA"",Canal Provincial San Miguel']",['190.105.0.200'],{'190.105.0.200'},"[['190.105.0.200'], ['190.105.0.200']]","Whois lookup failed for 190.105.0.200. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Canal UCR,"['""COSTA RICA"",Canal UCR']",[],['NONE'],[],Error,,[],['NONE'],[],
Canal del Sol 65,"['""DOMINICAN REPUBLIC"",Canal del Sol 65']",['69.30.252.68'],['NONE'],"[['69.30.252.68'], ['69.30.252.68'], ['69.30.252.68']]",NONE,no,['AS32097'],['NONE'],"['AS32097', 'AS32097', 'AS32097']","('looking-mail.radiustree.net', [], ['69.30.252.68'])"
Carivision,"['""DOMINICAN REPUBLIC"",Carivision']",[],['NONE'],[],Error,,[],['NONE'],[],
Central TV,"['""PERU"",Central TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Ciudad TV Chaco,"['""ARGENTINA"",Ciudad TV Chaco']",[],['NONE'],[],Error,,[],['NONE'],[],
Color Vision 9,"['""DOMINICAN REPUBLIC"",Color Vision 9']",[],['NONE'],[],Error,,[],['NONE'],[],
Contivision Constitucion,"['""CHILE"",Contivision Constitucion']",['190.196.10.198'],{'190.196.10.198'},"[['190.196.10.198'], ['190.196.10.198'], ['190.196.10.198']]","Whois lookup failed for 190.196.10.198. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Cultura 24 TV,"['""PERU"",Cultura 24 TV']",['147.135.15.55'],['NONE'],"[['147.135.15.55'], ['147.135.15.55'], ['147.135.15.55']]",NONE,no,['AS16276'],['NONE'],"['AS16276', 'AS16276', 'AS16276']","('ns100779.ip-147-135-15.us', [], ['147.135.15.55'])"
DJ Loncho TV,"['""CHILE"",DJ Loncho TV']",['167.114.140.230'],{'167.114.140.230'},[['167.114.140.230']],NONE,no,['AS16276'],['AS16276'],['AS16276'],"('serv1.videovox.pw', [], ['167.114.140.230'])"
Desierto TV,"['""CHILE"",Desierto TV']",['190.196.10.138'],{'190.196.10.138'},"[['190.196.10.138'], ['190.196.10.138'], ['190.196.10.138']]","Whois lookup failed for 190.196.10.138. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Digital 15,"['""DOMINICAN REPUBLIC"",Digital 15']",['151.101.194.29'],{'23.221.72.9'},"[['23.221.72.9'], ['23.221.72.9']]",NONE,no,['AS54113'],['AS20940'],"['AS20940', 'AS20940']",cant reverse lookup
Digital Vision 63,"['""DOMINICAN REPUBLIC"",Digital Vision 63']",[],['NONE'],[],Error,,[],['NONE'],[],
Ecuavisa (Opt-1),"['""ECUADOR"",Ecuavisa (Opt-1)']",['209.95.51.160'],['NONE'],[],Error,,['AS32780'],['NONE'],[],"('d15f33a0.setaptr.net', [], ['209.95.51.160'])"
Ecuavisa (Opt-2),"['""ECUADOR"",Ecuavisa (Opt-2)']",['209.95.51.160'],['NONE'],[],Error,,['AS32780'],['NONE'],[],"('d15f33a0.setaptr.net', [], ['209.95.51.160'])"
El Pinguino TV (Opt-1),"['""CHILE"",El Pinguino TV (Opt-1)']",[],['NONE'],[],Error,,[],['NONE'],[],
El Pinguino TV (Opt-2),"['""CHILE"",El Pinguino TV (Opt-2)']",[],['NONE'],[],Error,,[],['NONE'],[],
Extrema TV,"['""COSTA RICA"",Extrema TV']",[],['NONE'],[],Error,,[],['NONE'],[],
FM Hot Movies (Opt-1),"['""CHILE"",FM Hot Movies (Opt-1)']",['45.226.169.29'],{'45.226.169.29'},"[['45.226.169.29'], ['45.226.169.29'], ['45.226.169.29']]","Whois lookup failed for 45.226.169.29. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
FM Hot Movies (Opt-2),"['""CHILE"",FM Hot Movies (Opt-2)']",['45.226.169.29'],['NONE'],"[['45.226.169.29'], ['45.226.169.29'], ['45.226.169.29']]","Whois lookup failed for 45.226.169.29. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Faro Vision,"['""DOMINICAN REPUBLIC"",Faro Vision']",[],['NONE'],[],Error,,[],['NONE'],[],
Frecuencia Musical TV,"['""ARGENTINA"",Frecuencia Musical TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Fuego TV,"['""DOMINICAN REPUBLIC"",Fuego TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Futuro 88.9,"['""CHILE"",Futuro 88.9']",['190.196.10.138'],{'190.196.10.138'},"[['190.196.10.138'], ['190.196.10.138'], ['190.196.10.138'], ['190.196.10.138']]","Whois lookup failed for 190.196.10.138. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
GH Television,"['""DOMINICAN REPUBLIC"",GH Television']",[],['NONE'],[],Error,,[],['NONE'],[],
Garage TV,"['""ARGENTINA"",Garage TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Gracia TV,"['""CHILE"",Gracia TV']",['138.117.149.80'],{'138.117.149.80'},[['138.117.149.80']],"Whois lookup failed for 138.117.149.80. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Guapiles TV,"['""COSTA RICA"",Guapiles TV']",['68.235.48.51'],['NONE'],[],Error,,['AS11878'],['NONE'],[],"('static-68-235-48-51.cust.tzulo.com', [], ['68.235.48.51'])"
Holvoet TV,"['""CHILE"",Holvoet TV']",['190.196.10.138'],['NONE'],"[['190.196.10.138'], ['190.196.10.138'], ['190.196.10.138']]","Whois lookup failed for 190.196.10.138. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
IPe,"['""PERU"",IPe']",['192.99.145.188'],['NONE'],"[['192.99.145.188'], ['192.99.145.188'], ['192.99.145.188']]",NONE,no,['AS16276'],['NONE'],"['AS16276', 'AS16276', 'AS16276']","('188.ip-192-99-145.net', [], ['192.99.145.188'])"
La Red,"['""CHILE"",La Red']",[],['NONE'],[],Error,,[],['NONE'],[],
La Super TV,"['""COLOMBIA"",La Super TV']",['66.240.236.25'],['NONE'],"[['66.240.236.25'], ['66.240.236.25'], ['66.240.236.25']]",NONE,no,['AS10439'],['NONE'],"['AS10439', 'AS10439', 'AS10439']","('2k8s-236-25.aspadmin.net', [], ['66.240.236.25'])"
Linieros TV 36,"['""DOMINICAN REPUBLIC"",Linieros TV 36']",[],['NONE'],[],Error,,[],['NONE'],[],
Litus TV Santa Fe,"['""ARGENTINA"",Litus TV Santa Fe']",[],['NONE'],[],Error,,[],['NONE'],[],
Luna TV,"['""DOMINICAN REPUBLIC"",Luna TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Mango TV,"['""DOMINICAN REPUBLIC"",Mango TV']",['63.141.241.236'],['NONE'],"[['63.141.241.236'], ['63.141.241.236'], ['63.141.241.236']]",NONE,no,['AS33387'],['NONE'],"['AS33387', 'AS33387', 'AS33387']",cant reverse lookup
Maxima TV,"['""CHILE"",Maxima TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Medios Rioja,"['""ARGENTINA"",Medios Rioja']",['198.50.183.191'],['NONE'],"[['198.50.183.191'], ['198.50.183.191'], ['198.50.183.191']]",NONE,no,['AS16276'],['NONE'],"['AS16276', 'AS16276', 'AS16276']","('streamyes.alsolnet.com', [], ['198.50.183.191'])"
Mega TV Araquipa,"['""PERU"",Mega TV Araquipa']",[],['NONE'],[],Error,,[],['NONE'],[],
Microvision 10,"['""DOMINICAN REPUBLIC"",Microvision 10']",[],['NONE'],[],Error,,[],['NONE'],[],
Monterrico TV,"['""PERU"",Monterrico TV']",['147.135.15.55'],{'147.135.15.55'},[['147.135.15.55']],NONE,no,['AS16276'],['AS16276'],['AS16276'],"('ns100779.ip-147-135-15.us', [], ['147.135.15.55'])"
Multimedia Cappissima TV,"['""CHILE"",Multimedia Cappissima TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Multimedios CR,"['""COSTA RICA"",Multimedios CR']",['52.45.140.49'],['NONE'],[],Error,,['AS14618'],['NONE'],[],"('ec2-52-45-140-49.compute-1.amazonaws.com', [], ['52.45.140.49'])"
Multivision Salta,"['""ARGENTINA"",Multivision Salta']",[],['NONE'],[],Error,,[],['NONE'],[],
Mundo Mas,"['""COLOMBIA"",Mundo Mas']",[],['NONE'],[],Error,,[],['NONE'],[],
Music Top,"['""ARGENTINA"",Music Top']",['200.115.193.177'],{'200.115.193.177'},[['200.115.193.177']],"Whois lookup failed for 200.115.193.177. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Naranja TV,"['""DOMINICAN REPUBLIC"",Naranja TV']",['50.97.63.7'],{'50.97.63.7'},[['50.97.63.7']],NONE,no,['AS36351'],['AS36351'],['AS36351'],"('s-ez-v2-dc.cloud.influxis.com', [], ['50.97.63.7'])"
Net TV,"['""ARGENTINA"",Net TV']",['50.7.65.178'],{'50.7.65.178'},"[['50.7.65.178'], ['50.7.65.178'], ['50.7.65.178']]",NONE,no,['AS174'],['AS174'],"['AS174', 'AS174', 'AS174']",cant reverse lookup
Nexxo 20,"['""DOMINICAN REPUBLIC"",Nexxo 20']",[],['NONE'],[],Error,,[],['NONE'],[],
Oldies Hits,"['""COSTA RICA"",Oldies Hits']",[],['NONE'],[],Error,,[],['NONE'],[],
Onda TV 10,"['""DOMINICAN REPUBLIC"",Onda TV 10']",[],['NONE'],[],Error,,[],['NONE'],[],
Orbit TV,"['""DOMINICAN REPUBLIC"",Orbit TV']",[],['NONE'],[],Error,,[],['NONE'],[],
Oui TV Canal 3,"['""DOMINICAN REPUBLIC"",Oui TV Canal 3']",[],['NONE'],[],Error,,[],['NONE'],[],
Ovacion,"['""PERU"",Ovacion']",[],['NONE'],[],Error,,[],['NONE'],[],
Pandero Music CL,"['""CHILE"",Pandero Music CL']",[],['NONE'],[],Error,,[],['NONE'],[],
Pandero Music Top,"['""CHILE"",Pandero Music Top']",[],['NONE'],[],Error,,[],['NONE'],[],
Pauta,"['""CHILE"",Pauta']",['200.91.41.177'],['NONE'],"[['200.91.41.177'], ['200.91.41.177'], ['200.91.41.177']]","Whois lookup failed for 200.91.41.177. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
Peravia Vision 8,"['""DOMINICAN REPUBLIC"",Peravia Vision 8']",[],['NONE'],[],Error,,[],['NONE'],[],
Pintana TV,"['""CHILE"",Pintana TV']",['190.215.45.85'],{'190.215.45.85'},"[['190.215.45.85'], ['190.215.45.85'], ['190.215.45.85']]","Whois lookup failed for 190.215.45.85. Rate limit exceeded, wait and try again (possibly a temporary block).",no,['NONE'],['NONE'],['NONE'],
